ID;LARGO;ANCHO;CANT;MATERIAL;ESPESOR;CATEGORIA;CODIGO;OC; 
B1;2400;1200;5;DM CRUDO 68MM;68;MPRIMA / MADERA DM CRUDO 68MM;TB.800068;OC/220103/122458;
B4;2850;2100;5;DM CRUDO 68MM;68;MPRIMA / MADERA DM CRUDO 68MM;TB.800088;OC/220103/122458;
