ID;LARGO;ANCHO;CANT;CODE;OT;CODCONF;MATERIAL;ESPESOR;CATEGORIA;OC
P1;1250;500;5;1;OP/00343;A10.80012.YYY002;DM CRUDO 68MM;68;PSEMIELABORADO / MADERA DM CRUDO 68MM;OC/220103/122458
P2;800;200;5;2;OP/00342;A10.80003.ZZZ003;DM CRUDO 68MM;68;PSEMIELABORADO / MADERA DM CRUDO 68MM;OC/220103/122458
